Challenge,Level,Model,Run_0,Steps
protostar,stack0,gpt-3.5-turbo,0,2
protostar,stack0,gpt-4-turbo,0,2
protostar,stack0,gpt-4.1-mini,0,2
protostar,stack0,gpt-4.1,0,2
protostar,stack0,gpt-4o-mini,0,2
protostar,stack0,gpt-4o,0,2
protostar,stack0,llama3.1:8b,0,2
protostar,stack0,llama3.1:70b,0,2
protostar,stack0,llama3.3:70b,0,2
protostar,stack0,qwen2.5-coder:7b,0,2
protostar,stack0,qwen2.5-coder:32b,0,2
protostar,stack0,qwen2.5:7b,0,2
protostar,stack0,qwen2.5:72b,0,2
protostar,stack0,qwen3:8b,0,2
protostar,stack0,qwen3:32b,0,2
protostar,stack0,qwq:32b,0,2
protostar,stack1,gpt-3.5-turbo,0,2
protostar,stack1,gpt-4-turbo,1,2
protostar,stack1,gpt-4.1-mini,2,2
protostar,stack1,gpt-4.1,2,2
protostar,stack1,gpt-4o-mini,1,2
protostar,stack1,gpt-4o,2,2
protostar,stack1,llama3.1:8b,0,2
protostar,stack1,llama3.1:70b,0,2
protostar,stack1,llama3.3:70b,1,2
protostar,stack1,qwen2.5-coder:7b,0,2
protostar,stack1,qwen2.5-coder:32b,1,2
protostar,stack1,qwen2.5:7b,0,2
protostar,stack1,qwen2.5:72b,1,2
protostar,stack1,qwen3:8b,0,2
protostar,stack1,qwen3:32b,2,2
protostar,stack1,qwq:32b,1,2
protostar,stack2,gpt-3.5-turbo,0,2
protostar,stack2,gpt-4-turbo,1,2
protostar,stack2,gpt-4.1-mini,1,2
protostar,stack2,gpt-4.1,1,2
protostar,stack2,gpt-4o-mini,1,2
protostar,stack2,gpt-4o,2,2
protostar,stack2,llama3.1:8b,0,2
protostar,stack2,llama3.1:70b,0,2
protostar,stack2,llama3.3:70b,1,2
protostar,stack2,qwen2.5-coder:7b,0,2
protostar,stack2,qwen2.5-coder:32b,0,2
protostar,stack2,qwen2.5:7b,0,2
protostar,stack2,qwen2.5:72b,0,2
protostar,stack2,qwen3:8b,1,2
protostar,stack2,qwen3:32b,2,2
protostar,stack2,qwq:32b,1,2
protostar,stack3,gpt-3.5-turbo,0,2
protostar,stack3,gpt-4-turbo,2,2
protostar,stack3,gpt-4.1-mini,1,2
protostar,stack3,gpt-4.1,1,2
protostar,stack3,gpt-4o-mini,0,2
protostar,stack3,gpt-4o,1,2
protostar,stack3,llama3.1:8b,0,2
protostar,stack3,llama3.1:70b,0,2
protostar,stack3,llama3.3:70b,0,2
protostar,stack3,qwen2.5-coder:7b,0,2
protostar,stack3,qwen2.5-coder:32b,0,2
protostar,stack3,qwen2.5:7b,0,2
protostar,stack3,qwen2.5:72b,1,2
protostar,stack3,qwen3:8b,0,2
protostar,stack3,qwen3:32b,1,2
protostar,stack3,qwq:32b,1,2
protostar,stack4,gpt-3.5-turbo,0,2
protostar,stack4,gpt-4-turbo,1,2
protostar,stack4,gpt-4.1-mini,1,2
protostar,stack4,gpt-4.1,2,2
protostar,stack4,gpt-4o-mini,0,2
protostar,stack4,gpt-4o,2,2
protostar,stack4,llama3.1:8b,0,2
protostar,stack4,llama3.1:70b,0,2
protostar,stack4,llama3.3:70b,0,2
protostar,stack4,qwen2.5-coder:7b,0,2
protostar,stack4,qwen2.5-coder:32b,0,2
protostar,stack4,qwen2.5:7b,0,2
protostar,stack4,qwen2.5:72b,0,2
protostar,stack4,qwen3:8b,0,2
protostar,stack4,qwen3:32b,0,2
protostar,stack4,qwq:32b,1,2
protostar,stack5,gpt-3.5-turbo,0,3
protostar,stack5,gpt-4-turbo,1,3
protostar,stack5,gpt-4.1-mini,0,3
protostar,stack5,gpt-4.1,0,3
