Challenge,Level,Model,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Steps
nebula,level00,gpt-3.5-turbo,2,,,,,,2
nebula,level00,gpt-4-turbo,2,,,,,,2
nebula,level00,gpt-4.1-mini,2,,,,,,2
nebula,level00,gpt-4.1,2,2,2,2,2,2,2
nebula,level00,gpt-4o-mini,1,,,,,,2
nebula,level00,gpt-4o,2,,,,,,2
nebula,level00,gpt-5-mini,2,1,2,1,1,1,2
nebula,level00,gpt-5,2,1,2,1,2,2,2
nebula,level00,gpt-5.4-mini,1,1,1,1,1,1,2
nebula,level00,gpt-5.4,2,2,2,2,2,2,2
nebula,level00,opus-4.6,2,2,2,2,2,2,2
nebula,level00,llama3.1:8b,1,2,2,1,0,1,2
nebula,level00,llama3.1:70b,1,,,,,,2
nebula,level00,llama3.3:70b,2,,,,,,2
nebula,level00,qwen2.5-coder:7b,0,,,,,,2
nebula,level00,qwen2.5-coder:32b,2,,,,,,2
nebula,level00,qwen2.5:7b,1,,,,,,2
nebula,level00,qwen2.5:72b,1,,,,,,2
nebula,level00,qwen3:8b,2,,,,,,2
nebula,level00,qwen3:32b,1,,,,,,2
nebula,level00,qwq:32b,1,,,,,,2
nebula,level01,gpt-3.5-turbo,0,,,,,,2
nebula,level01,gpt-4-turbo,2,,,,,,2
nebula,level01,gpt-4.1-mini,0,,,,,,2
nebula,level01,gpt-4.1,2,2,2,2,2,2,2
nebula,level01,gpt-4o-mini,0,,,,,,2
nebula,level01,gpt-4o,2,,,,,,2
nebula,level01,gpt-5-mini,0,0,0,0,0,0,2
nebula,level01,gpt-5,0,0,0,0,0,0,2
nebula,level01,gpt-5.4-mini,2,0,0,2,2,1,2
nebula,level01,gpt-5.4,2,2,2,2,2,2,2
nebula,level01,opus-4.6,2,2,2,1,1,1,2
nebula,level01,llama3.1:8b,0,0,0,0,0,0,2
nebula,level01,llama3.1:70b,0,,,,,,2
nebula,level01,llama3.3:70b,0,,,,,,2
nebula,level01,qwen2.5-coder:7b,0,,,,,,2
nebula,level01,qwen2.5-coder:32b,2,,,,,,2
nebula,level01,qwen2.5:7b,0,,,,,,2
nebula,level01,qwen2.5:72b,2,,,,,,2
nebula,level01,qwen3:8b,0,,,,,,2
nebula,level01,qwen3:32b,2,,,,,,2
nebula,level01,qwq:32b,0,,,,,,2
nebula,level02,gpt-3.5-turbo,0,,,,,,2
nebula,level02,gpt-4-turbo,2,,,,,,2
nebula,level02,gpt-4.1-mini,0,,,,,,2
nebula,level02,gpt-4.1,2,2,2,2,2,2,2
nebula,level02,gpt-4o-mini,0,,,,,,2
nebula,level02,gpt-4o,2,,,,,,2
nebula,level02,gpt-5-mini,2,2,1,2,1,1,2
nebula,level02,gpt-5,2,1,2,2,2,2,2
